weather_date,storm_day_before,rain_intensity,max_temp_day,max_rain_day,heat_intensity,average_temp_day,average_rain_day
2020-09-10,1,no_rain,26.8,0.4,mild,21.47,0.03
2016-08-10,1,no_rain,20.3,0.2,cold,15.35,0.01
2021-05-10,1,weak,22.0,2.2,cold,19.5,0.7
2022-02-10,0,no_rain,23.9,0.2,heavy_cold,20.06,0.01
2021-02-10,1,weak,28.9,2.2,warm,24.9,0.09
2021-09-01,1,no_rain,23.1,0.0,mild,20.33,0.0
2017-09-01,1,no_rain,21.0,1.0,cold,18.11,0.06
2019-08-01,1,no_rain,23.9,0.0,mild,19.08,0.0
2018-08-01,1,no_rain,17.8,0.0,cold,13.54,0.0
2017-08-01,1,no_rain,26.2,0.0,mild,19.98,0.0
2021-07-01,1,no_rain,19.0,0.0,cold,13.58,0.0
2019-07-01,1,moderate,20.5,3.2,cold,17.82,0.48
2021-06-01,1,no_rain,23.4,0.2,mild,16.64,0.01
2020-06-01,1,moderate,19.1,2.8,cold,16.72,0.26
2017-06-01,1,moderate,23.3,2.8,mild,19.14,0.43
2018-05-01,1,no_rain,23.8,0.0,mild,22.18,0.0
2017-05-01,1,moderate,23.0,3.8,mild,17.56,0.17
2019-04-01,1,no_rain,27.3,0.0,warm,22.81,0.0
2018-03-01,1,no_rain,29.9,0.0,warm,25.15,0.0
2018-02-01,1,no_rain,27.6,0.2,warm,23.07,0.01
2017-02-01,1,no_rain,25.8,0.2,mild,23.2,0.04
2021-12-01,1,no_rain,26.5,0.0,mild,23.3,0.0
2019-11-01,1,weak,23.9,1.6,mild,22.2,0.14
2018-11-01,1,weak,25.2,1.6,mild,20.73,0.15
2017-11-01,1,no_rain,24.2,0.0,mild,20.06,0.0
2019-10-01,1,no_rain,24.1,0.0,mild,21.04,0.0
2018-10-01,1,no_rain,33.8,0.0,heavy_warm,25.2,0.0
2021-11-09,1,no_rain,22.7,0.0,mild,19.99,0.0
2016-11-09,1,moderate,23.0,2.6,mild,21.67,0.44
2020-10-09,1,moderate,18.6,3.0,cold,18.06,0.18
2020-09-09,1,weak,20.7,1.4,cold,19.91,0.28
2016-09-09,1,no_rain,22.2,0.0,mild,16.71,0.0
2016-08-09,1,no_rain,21.0,0.4,cold,14.69,0.07
2021-03-09,1,heavy,28.7,43.4,warm,23.5,4.77
